"filename", "language", "Python", "HTML", "CSS", "XML", "pip requirements", "Markdown", "comment", "blank", "total"
"e:\projects\venv\Scripts\myPetProject\README.md", "Markdown", 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\projects\venv\Scripts\myPetProject\common\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\common\admin.py", "Python", 1, 0, 0, 0, 0, 0, 1, 2, 4
"e:\projects\venv\Scripts\myPetProject\common\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 3, 7
"e:\projects\venv\Scripts\myPetProject\common\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\common\models.py", "Python", 1, 0, 0, 0, 0, 0, 1, 2, 4
"e:\projects\venv\Scripts\myPetProject\common\tests.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\common\urls.py", "Python", 6, 0, 0, 0, 0, 0, 0, 3, 9
"e:\projects\venv\Scripts\myPetProject\common\views.py", "Python", 15, 0, 0, 0, 0, 0, 1, 7, 23
"e:\projects\venv\Scripts\myPetProject\manage.py", "Python", 15, 0, 0, 0, 0, 0, 3, 5, 23
"e:\projects\venv\Scripts\myPetProject\requirements.txt", "pip requirements", 0, 0, 0, 0, 3, 0, 0, 1, 4
"e:\projects\venv\Scripts\myPetProject\reviews\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\reviews\admin.py", "Python", 7, 0, 0, 0, 0, 0, 1, 3, 11
"e:\projects\venv\Scripts\myPetProject\reviews\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 3, 7
"e:\projects\venv\Scripts\myPetProject\reviews\components\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\reviews\components\database_requests.py", "Python", 145, 0, 0, 0, 0, 0, 0, 46, 191
"e:\projects\venv\Scripts\myPetProject\reviews\components\interfaces\IBuilder.py", "Python", 5, 0, 0, 0, 0, 0, 0, 4, 9
"e:\projects\venv\Scripts\myPetProject\reviews\components\interfaces\IDriverAdapter.py", "Python", 17, 0, 0, 0, 0, 0, 5, 8, 30
"e:\projects\venv\Scripts\myPetProject\reviews\components\interfaces\IReviewsPage.py", "Python", 8, 0, 0, 0, 0, 0, 0, 7, 15
"e:\projects\venv\Scripts\myPetProject\reviews\components\interfaces\IScruber.py", "Python", 8, 0, 0, 0, 0, 0, 2, 7, 17
"e:\projects\venv\Scripts\myPetProject\reviews\components\interfaces\ISpeecher.py", "Python", 5, 0, 0, 0, 0, 0, 0, 3, 8
"e:\projects\venv\Scripts\myPetProject\reviews\components\interfaces\ITranslator.py", "Python", 5, 0, 0, 0, 0, 0, 0, 3, 8
"e:\projects\venv\Scripts\myPetProject\reviews\components\interfaces\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\reviews\components\pitchf_scruber_builder.py", "Python", 16, 0, 0, 0, 0, 0, 0, 8, 24
"e:\projects\venv\Scripts\myPetProject\reviews\components\pitchfork_scruber.py", "Python", 105, 0, 0, 0, 0, 0, 0, 34, 139
"e:\projects\venv\Scripts\myPetProject\reviews\components\selenium_adapter.py", "Python", 67, 0, 0, 0, 0, 0, 0, 15, 82
"e:\projects\venv\Scripts\myPetProject\reviews\components\speecher.py", "Python", 17, 0, 0, 0, 0, 0, 0, 10, 27
"e:\projects\venv\Scripts\myPetProject\reviews\components\translator.py", "Python", 18, 0, 0, 0, 0, 0, 0, 8, 26
"e:\projects\venv\Scripts\myPetProject\reviews\components\validators.py", "Python", 25, 0, 0, 0, 0, 0, 0, 15, 40
"e:\projects\venv\Scripts\myPetProject\reviews\context_processors\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\reviews\context_processors\latest_review_index.py", "Python", 8, 0, 0, 0, 0, 0, 0, 3, 11
"e:\projects\venv\Scripts\myPetProject\reviews\migrations\0001_initial.py", "Python", 37, 0, 0, 0, 0, 0, 1, 7, 45
"e:\projects\venv\Scripts\myPetProject\reviews\migrations\0002_userreview.py", "Python", 26, 0, 0, 0, 0, 0, 1, 6, 33
"e:\projects\venv\Scripts\myPetProject\reviews\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\reviews\models.py", "Python", 24, 0, 0, 0, 0, 0, 1, 18, 43
"e:\projects\venv\Scripts\myPetProject\reviews\services\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\reviews\services\all_reviews_page_service.py", "Python", 9, 0, 0, 0, 0, 0, 0, 5, 14
"e:\projects\venv\Scripts\myPetProject\reviews\services\all_users_reviews_page_service.py", "Python", 15, 0, 0, 0, 0, 0, 0, 9, 24
"e:\projects\venv\Scripts\myPetProject\reviews\services\certain_review_page_service.py", "Python", 40, 0, 0, 0, 0, 0, 0, 14, 54
"e:\projects\venv\Scripts\myPetProject\reviews\services\certain_user_review_page_service.py", "Python", 36, 0, 0, 0, 0, 0, 0, 9, 45
"e:\projects\venv\Scripts\myPetProject\reviews\services\create_user_review_service.py", "Python", 49, 0, 0, 0, 0, 0, 0, 17, 66
"e:\projects\venv\Scripts\myPetProject\reviews\services\interfaces\ICommand.py", "Python", 5, 0, 0, 0, 0, 0, 0, 4, 9
"e:\projects\venv\Scripts\myPetProject\reviews\services\interfaces\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\projects\venv\Scripts\myPetProject\reviews\services\mini_services.py", "Python", 7, 0, 0, 0, 0, 0, 0, 5, 12
