"filename", "language", "Python", "HTML", "comment", "blank", "total"
"e:\projects\venv\Scripts\myPetProject\reviews\components\database_requests.py", "Python", 16, 0, 0, 7, 23
"e:\projects\venv\Scripts\myPetProject\reviews\serializers.py", "Python", 6, 0, 0, 3, 9
"e:\projects\venv\Scripts\myPetProject\reviews\services\create_user_review_service.py", "Python", -32, 0, 0, -8, -40
"e:\projects\venv\Scripts\myPetProject\reviews\views.py", "Python", 7, 0, 0, 5, 12
"e:\projects\venv\Scripts\myPetProject\templates\common_app\index.html", "HTML", 0, 6, 0, -1, 5
"e:\projects\venv\Scripts\myPetProject\templates\users\profile.html", "HTML", 0, 118, 0, 30, 148
"e:\projects\venv\Scripts\myPetProject\users\components\database_requests.py", "Python", 23, 0, 0, 5, 28
"e:\projects\venv\Scripts\myPetProject\users\services\authenticate_and_auth_or_registr_user.py", "Python", 2, 0, 0, 1, 3
"e:\projects\venv\Scripts\myPetProject\users\services\change_user_ava_service.py", "Python", 2, 0, 0, 0, 2
"e:\projects\venv\Scripts\myPetProject\users\services\change_user_nickname_service.py", "Python", 2, 0, 0, 1, 3
"e:\projects\venv\Scripts\myPetProject\users\services\set_up_profile_service.py", "Python", 2, 0, 0, 2, 4
"e:\projects\venv\Scripts\myPetProject\users\services\user_data_service.py", "Python", 22, 0, 0, 4, 26
"e:\projects\venv\Scripts\myPetProject\users\views.py", "Python", 4, 0, 0, 2, 6
"e:\projects\venv\Scripts\myPetProject\utils\abstractions\abstract_classes\abs_services.py", "Python", 4, 0, 0, 1, 5
"e:\projects\venv\Scripts\myPetProject\utils\abstractions\data_structures\service_response.py", "Python", 13, 0, 0, 5, 18
"Total", "-", 71, 124, 0, 57, 252
